VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-03-01 00:00:00,2016-03-01 00:07:55,1,2.5,-73.97674560546875,40.765151977539055,1,N,-74.00426483154298,40.74612808227539,1,9.0,0.5,0.5,2.05,0.0,0.3,12.35
1,2016-03-01 00:00:00,2016-03-01 00:11:06,1,2.9,-73.98348236083984,40.767925262451165,1,N,-74.00594329833984,40.7331657409668,1,11.0,0.5,0.5,3.05,0.0,0.3,15.35
2,2016-03-01 00:00:00,2016-03-01 00:31:06,2,19.98,-73.78202056884764,40.64480972290039,1,N,-73.97454071044923,40.6757698059082,1,54.5,0.5,0.5,8.0,0.0,0.3,63.8
2,2016-03-01 00:00:00,2016-03-01 00:00:00,3,10.78,-73.86341857910156,40.769813537597656,1,N,-73.96965026855469,40.757766723632805,1,31.5,0.0,0.5,3.78,5.54,0.3,41.62
2,2016-03-01 00:00:00,2016-03-01 00:00:00,5,30.43,-73.97174072265625,40.79218292236328,3,N,-74.17716979980467,40.69505310058594,1,98.0,0.0,0.0,0.0,15.5,0.3,113.8
2,2016-03-01 00:00:00,2016-03-01 00:00:00,5,5.92,-74.01719665527344,40.70538330078125,1,N,-73.97807312011719,40.75578689575195,1,23.5,1.0,0.5,5.06,0.0,0.3,30.36
2,2016-03-01 00:00:00,2016-03-01 00:00:00,6,5.72,-73.99458312988281,40.72784805297852,1,N,0.0,0.0,2,23.0,0.5,0.5,0.0,0.0,0.3,24.3
1,2016-03-01 00:00:01,2016-03-01 00:16:04,1,6.2,-73.78877258300781,40.64775848388672,1,N,-73.82920837402342,40.712345123291016,3,20.5,0.5,0.5,0.0,0.0,0.3,21.8
1,2016-03-01 00:00:01,2016-03-01 00:05:00,1,0.7,-73.95822143554686,40.76464080810546,1,N,-73.9678955078125,40.76290130615234,1,5.5,0.5,0.5,2.0,0.0,0.3,8.8
2,2016-03-01 00:00:01,2016-03-01 00:24:06,3,7.18,-73.98577880859375,40.74119186401367,1,N,-73.94635009765625,40.79787826538086,1,23.5,0.5,0.5,3.2,0.0,0.3,28.0
2,2016-03-01 00:00:01,2016-03-01 00:02:03,2,0.54,-73.9884262084961,40.76416015625,1,N,-73.99239349365233,40.75822448730469,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3
1,2016-03-01 00:00:02,2016-03-01 00:07:49,1,1.7,-73.96981811523438,40.79742813110352,1,N,-73.94377136230467,40.796199798583984,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3
1,2016-03-01 00:00:02,2016-03-01 00:03:05,1,1.1,-73.95380401611328,40.78812789916992,1,N,-73.97154998779298,40.79523849487305,1,5.5,0.5,0.5,2.2,0.0,0.3,9.0
